TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
50.97556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06897499,1.680514,0.1496174,21.3033,316.2026,3.50398,-0.09070218,0.9864129,0.33548,12.32437,315.5577,4.417046,False,False
50.98667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.06975301,1.68127,0.1495453,21.04811,317.0055,3.582378,-0.0987159,0.9966482,0.3382652,10.75658,316.261,3.925539,False,False
50.99778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07057174,1.682114,0.1495554,20.76672,317.8463,3.607396,-0.1070112,1.007129,0.34091,9.270875,316.996,3.158992,False,False
51.00889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07148084,1.683095,0.1494594,20.41694,318.7602,3.604548,-0.1144062,1.016766,0.3431692,8.096591,317.5906,1.469186,False,False
51.02,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07243541,1.684133,0.1493299,20.05298,319.6938,3.568505,-0.1217097,1.026594,0.3454318,7.055518,318.2338,359.1568,False,False
51.03111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07354586,1.685344,0.1490614,19.60884,320.6938,3.510655,-0.1285963,1.036466,0.3475769,6.016643,318.8931,356.9345,False,False
51.04222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07480569,1.686616,0.1487609,19.07846,321.7167,3.462733,-0.1352168,1.046246,0.349751,4.918348,319.6267,354.8849,False,False
51.05333,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07604456,1.687845,0.1484944,18.48446,322.7194,3.398091,-0.1413058,1.056285,0.3520968,3.750082,320.523,352.9969,False,False
51.06445,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07740025,1.689064,0.1481441,17.87252,323.7113,3.326442,-0.1467277,1.066498,0.3543916,2.588358,321.6809,350.8569,False,False
51.07556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.07883696,1.690389,0.1477807,17.21144,324.6951,3.257383,-0.1512802,1.076893,0.3571422,1.437644,323.0833,348.5991,False,False
51.08667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.08033451,1.691742,0.1473131,16.55166,325.6801,3.202553,-0.1551939,1.087302,0.3597839,0.1057852,324.6406,346.4147,False,False
51.09778,0.9073585,1,Training,1,1,Flat,2,prepare,-0.08192046,1.693086,0.1468052,15.90306,326.6595,3.122102,-0.1584643,1.098003,0.3621016,358.6049,326.2719,344.7278,False,False
51.10889,0.9073585,1,Training,1,1,Flat,2,prepare,-0.08351499,1.694403,0.146255,15.23398,327.6676,3.049925,-0.1616025,1.108477,0.3641031,357.0528,327.8854,343.8428,False,False
51.12,0.9073585,1,Training,1,1,Flat,2,prepare,-0.08517873,1.695701,0.1455244,14.55065,328.6835,3.007908,-0.1646286,1.118718,0.3659217,355.5844,329.4866,343.1077,False,False
51.13111,0.9073585,1,Training,1,1,Flat,2,prepare,-0.08686629,1.696899,0.1447869,13.88309,329.6973,2.948085,-0.1669666,1.128429,0.3673429,353.9808,331.0891,343.118,False,False
51.14222,0.9073585,1,Training,1,1,Flat,2,prepare,-0.08861212,1.698074,0.1438863,13.23156,330.6802,2.88555,-0.1692301,1.13824,0.3684568,352.2829,332.6585,343.6728,False,False
51.15334,0.9073585,1,Training,1,1,Flat,2,prepare,-0.09029578,1.699274,0.1429465,12.59004,331.6611,2.78612,-0.1708302,1.147765,0.3693435,350.6625,334.2246,344.1345,False,False
51.16444,0.9073585,1,Training,1,1,Flat,2,prepare,-0.09207817,1.70068,0.1418609,12.03408,332.6328,2.647576,-0.1725559,1.157096,0.3703704,349.1057,335.7703,344.4467,False,False
51.17556,0.9073585,1,Training,1,1,Flat,2,prepare,-0.09396344,1.702091,0.1408427,11.47091,333.6399,2.475104,-0.1735579,1.166149,0.3710082,347.6341,337.4152,344.4926,False,False
51.18667,0.9073585,1,Training,1,1,Flat,2,prepare,-0.0958605,1.703597,0.1397501,10.92557,334.688,2.26607,-0.1744189,1.174536,0.372334,346.3999,338.8275,345.0111,False,False
